marker,model,seed,fold,splitter,train_images,val_images,train_patients,val_patients,loss,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,roc_auc,tn,fp,fn,tp
Her2,resnet18,42,1,StratifiedGroupKFold,15566,5147,40,12,0.08222852016526702,0.9751311443559355,0.9463548830811555,0.9946987951807229,0.9699248120300752,0.971323092248602,0.9783064288403615,0.9743628697447494,0.9987009757781126,2955,117,11,2064
Her2,resnet18,42,2,StratifiedGroupKFold,17424,3289,43,9,0.0018741542853604187,0.9993919124353907,0.993006993006993,1.0,0.9964912280701754,0.9965034965034965,0.9996672212978369,0.9980791692947415,0.9999988282440064,3003,2,0,284
Her2,resnet18,42,3,StratifiedGroupKFold,16147,4566,44,8,0.0005869398031184877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3284,0,0,1282
Her2,resnet18,42,4,StratifiedGroupKFold,16813,3900,41,11,0.004920980933376325,0.9984615384615385,0.9987557030277893,0.9987557030277893,0.9987557030277893,0.9983704640054998,0.9983704640054998,0.9983704640054998,0.9999402503468683,1486,3,3,2408
Her2,resnet18,42,5,StratifiedGroupKFold,16902,3811,40,12,0.004171799533848267,0.998950406717397,1.0,0.9945429740791268,0.9972640218878249,0.99935107073329,0.9972714870395634,0.9983073356192371,0.9999915786637024,3078,0,4,729
ER,resnet18,42,1,StratifiedGroupKFold,20418,5716,47,12,0.1743615630755408,0.9725332400279916,0.98026734563972,0.986336464560205,0.9832925401723954,0.9582293856812758,0.9481100927452187,0.9530713315112591,0.9823557144890407,939,93,64,4620
ER,resnet18,42,2,StratifiedGroupKFold,21543,4591,49,10,0.08748384008261685,0.9751688085384448,0.990041928721174,0.9802802283341983,0.9851368970013038,0.9459887062960709,0.9643599242078047,0.9548700358022393,0.994637195209967,699,38,76,3778
ER,resnet18,42,3,StratifiedGroupKFold,21112,5022,46,13,0.045500432222615926,0.9908403026682596,0.9978858350951374,0.991365227537923,0.9946148442987591,0.974759911011621,0.989576779304918,0.9819945060375287,0.998359111412282,728,9,37,4248
ER,resnet18,42,4,StratifiedGroupKFold,21312,4822,48,11,0.05503652087339249,0.9836167565325591,0.9961193305845258,0.9848920863309353,0.990473893645243,0.9529952876098595,0.9801761045151609,0.9659993450461596,0.9969442850627475,636,16,63,4107
ER,resnet18,42,5,StratifiedGroupKFold,20151,5983,46,13,0.09157766045586384,0.976767507939161,0.9913411196133709,0.9808726838015541,0.986079118678017,0.9484729196886914,0.9681334373364617,0.9579562680719717,0.9931752080682619,921,43,96,4923
PR,resnet18,42,1,StratifiedGroupKFold,21540,3431,49,11,0.13330558014826643,0.970853978431944,0.990192873488068,0.9774120684091643,0.983760961351088,0.9010104152386575,0.9435253113130159,0.9208577534028167,0.9856011655528212,302,30,70,3029
PR,resnet18,42,2,StratifiedGroupKFold,21297,3674,49,11,0.13895847855521173,0.9684267827980403,0.9913312693498452,0.9732522796352584,0.9822085889570552,0.8965665355758234,0.9501678064842959,0.9210559852997837,0.9803021308257346,356,28,88,3202
PR,resnet18,42,3,StratifiedGroupKFold,19110,5861,49,11,0.08585908693139968,0.9721890462378434,0.9963142580019398,0.9727272727272728,0.9843794920939147,0.8961741261681087,0.9700125176028791,0.928864182721394,0.9925164945496273,562,19,144,5136
PR,resnet18,42,4,StratifiedGroupKFold,19012,5959,46,14,0.14769023304131437,0.9617385467360295,0.9888468432583151,0.9665174226202063,0.9775546367395157,0.9027389866611405,0.9491954509694706,0.9240045910970306,0.9865146328790649,766,56,172,4965
PR,resnet18,42,5,StratifiedGroupKFold,18925,6046,47,13,0.0860329342346328,0.9730400264637777,0.9915676504407819,0.9775174759115813,0.9844924364951003,0.9239239218387485,0.9595422704923113,0.9406965661286381,0.9909388204471616,709,44,119,5174
Ki67,resnet18,42,1,StratifiedGroupKFold,15673,4983,48,12,0.10814579939827897,0.9540437487457355,0.9915828851999064,0.9564727108705458,0.9737113993800941,0.8591058901920212,0.9454494701893712,0.8956206399290909,0.9893417564062433,513,36,193,4241
Ki67,resnet18,42,2,StratifiedGroupKFold,16164,4492,46,14,0.12601884140773714,0.9532502226179875,0.9946808510638298,0.9540816326530612,0.9739583333333334,0.8236271902377972,0.9491152844116371,0.872848731884058,0.9873495750883939,355,21,189,3927
Ki67,resnet18,42,3,StratifiedGroupKFold,15763,4893,47,13,0.13445571310904386,0.9576946658491723,0.9945429740791268,0.9598420013166556,0.9768844221105528,0.8124230021910785,0.9442067149440421,0.8638934745931826,0.9872667769104571,312,24,183,4374
Ki67,resnet18,42,4,StratifiedGroupKFold,17584,3072,50,10,0.1374394022859633,0.9576822916666666,0.9910913140311804,0.9618155619596542,0.9762340036563071,0.85533401680395,0.9403672404392867,0.8916778326886876,0.9858676444816574,272,24,106,2670
Ki67,resnet18,42,5,StratifiedGroupKFold,17440,3216,49,11,0.12229402627473554,0.9757462686567164,0.994614607876136,0.979449784554193,0.9869739478957916,0.8707766916931701,0.9495238872519709,0.905649136110058,0.988439046408709,183,16,62,2955
Her2,resnet50,42,1,StratifiedGroupKFold,15566,5147,40,12,0.08743431514814091,0.9768797357684088,0.9482126489459212,0.9971084337349397,0.9720460418134836,0.9730945200884749,0.9801622897841366,0.9761671322203082,0.9988031814759037,2959,113,6,2069
Her2,resnet50,42,2,StratifiedGroupKFold,17424,3289,43,9,0.0017834382689705728,0.9993919124353907,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9980730472686368,0.9980730472686368,0.9980730472686368,0.9999988282440064,3004,1,1,283
Her2,resnet50,42,3,StratifiedGroupKFold,16147,4566,44,8,0.00042242230460942665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3284,0,0,1282
Her2,resnet50,42,4,StratifiedGroupKFold,16813,3900,41,11,0.008479841442162833,0.9987179487179487,1.0,0.9979261717129821,0.9989620095495122,0.9983266398929049,0.9989630858564911,0.9986429223074413,0.9995328663482431,1489,0,5,2406
Her2,resnet50,42,5,StratifiedGroupKFold,16902,3811,40,12,0.001291847807715385,0.9997376016793492,1.0,0.9986357435197817,0.9993174061433447,0.9998376096135109,0.9993178717598908,0.9995774946909675,1.0,3078,0,1,732
ER,resnet50,42,1,StratifiedGroupKFold,20418,5716,47,12,0.3047146842349321,0.9557382785164451,0.9580318379160637,0.9893253629376602,0.9734271610124987,0.9505745082640614,0.8963099682905356,0.9205178714533975,0.980533785640048,829,203,50,4634
ER,resnet50,42,2,StratifiedGroupKFold,21543,4591,49,10,0.07984540368973587,0.9812676976693531,0.9926778242677824,0.9849507005708354,0.9887991664495962,0.9585292641547517,0.973479420841727,0.9658091576928832,0.9946222325181189,709,28,58,3796
ER,resnet50,42,3,StratifiedGroupKFold,21112,5022,46,13,0.043678396606992465,0.985663082437276,0.9981082998344762,0.9850641773628939,0.9915433403805497,0.9587010603838206,0.9871046802689639,0.972242258425569,0.9979189656892159,729,8,64,4221
ER,resnet50,42,4,StratifiedGroupKFold,21312,4822,48,11,0.052496527045916175,0.9838241393612609,0.9961202715809894,0.9851318944844125,0.9905956112852664,0.9536475283406379,0.9802960085918995,0.9664089167537443,0.9976574568566007,636,16,62,4108
ER,resnet50,42,5,StratifiedGroupKFold,20151,5983,46,13,0.0760483743593176,0.9839545378572623,0.9910233393177738,0.9898386132695756,0.9904306220095693,0.9692230098650725,0.9715790576721322,0.9703962830833783,0.9949746978080803,919,45,51,4968
PR,resnet50,42,1,StratifiedGroupKFold,21540,3431,49,11,0.15394841550194002,0.9746429612357913,0.9880103694102398,0.983865763149403,0.9859337105901375,0.9215414165891779,0.9362099900084364,0.928712793256664,0.972713700882912,295,37,50,3049
PR,resnet50,42,2,StratifiedGroupKFold,21297,3674,49,11,0.13773925054882621,0.9670658682634731,0.9904054472299597,0.9726443768996961,0.9814445637172213,0.8936225881747992,0.9459576051165147,0.9175662963688888,0.9819097486068895,353,31,90,3200
PR,resnet50,42,3,StratifiedGroupKFold,19110,5861,49,11,0.10348333456836965,0.9814024910424842,0.9910731244064578,0.9882575757575758,0.9896633475580844,0.943523139384437,0.9536812835758619,0.9485275106524491,0.992086853909143,534,47,62,5218
PR,resnet50,42,4,StratifiedGroupKFold,19012,5959,46,14,0.11914609280474325,0.9551938244671925,0.9923170238576627,0.9554214522094607,0.9735197857780422,0.8831279097570643,0.9545963708735867,0.9140078492922908,0.9879179105644041,784,38,229,4908
PR,resnet50,42,5,StratifiedGroupKFold,18925,6046,47,13,0.08688149333465844,0.9717168375785643,0.9919323857087975,0.9756281881730587,0.9837127345461473,0.9191804785686845,0.95992564787139,0.9381840508888928,0.9899546596032897,711,42,129,5164
Ki67,resnet50,42,1,StratifiedGroupKFold,15673,4983,48,12,0.12113820089815328,0.9496287377082079,0.9913084331688983,0.9517365809652684,0.9711195489586929,0.8482712964742563,0.9421706584243463,0.8871284019303268,0.9869769778651962,512,37,214,4220
Ki67,resnet50,42,2,StratifiedGroupKFold,16164,4492,46,14,0.12407732046600965,0.9550311665182547,0.993195564516129,0.9574829931972789,0.975012370113805,0.829613049433637,0.9428372412794905,0.8752839628346802,0.9885633774786511,349,27,175,3941
Ki67,resnet50,42,3,StratifiedGroupKFold,15763,4893,47,13,0.13779599227918646,0.9521765787860208,0.9949622166246851,0.9534781654597323,0.9737785746302107,0.795960195764814,0.944000987491771,0.8511584288464278,0.9871077463243362,314,22,212,4345
Ki67,resnet50,42,4,StratifiedGroupKFold,17584,3072,50,10,0.1373153394088149,0.9527994791666666,0.9936210131332083,0.9538904899135446,0.973350487042823,0.8395623493184469,0.9482290287405561,0.8835457982867031,0.987555008178207,279,17,128,2648
Ki67,resnet50,42,5,StratifiedGroupKFold,17440,3216,49,11,0.1084726056164632,0.9779228855721394,0.9952925353059852,0.9811070599933709,0.9881488900016692,0.8798776726116703,0.9553776505997005,0.9135755787876827,0.9924656427647018,185,14,57,2960
